Name;PD Notation;Determinant;white_edge_graph;det_white_graph;edge_graph
3_1;"[[1;5;2;4];[3;1;4;6];[5;3;6;2]]";3;[(1, 4, 1), (1, 4, 1), (1, 4, 1)];3;[(0, 2, -1), (0, 3, -1), (1, 4, 1), (1, 4, 1), (1, 4, 1), (2, 3, -1)]
4_1;"[[4;2;5;1];[8;6;1;5];[6;3;7;4];[2;7;3;8]]";5;[(1, 2, -1), (1, 4, -1), (2, 4, -1), (2, 4, -1)];5;[(0, 3, 1), (0, 3, 1), (0, 5, 1), (1, 2, -1), (1, 4, -1), (2, 4, -1), (2, 4, -1), (3, 5, 1)]
5_1;"[[2;8;3;7];[4;10;5;9];[6;2;7;1];[8;4;9;3];[10;6;1;5]]";5;[(0, 6, 1), (0, 6, 1), (0, 6, 1), (0, 6, 1), (0, 6, 1)];5;[(0, 6, 1), (0, 6, 1), (0, 6, 1), (0, 6, 1), (0, 6, 1), (1, 3, -1), (1, 4, -1), (2, 4, -1), (2, 5, -1), (3, 5, -1)]
5_2;"[[1;5;2;4];[3;9;4;8];[5;1;6;10];[7;3;8;2];[9;7;10;6]]";7;[(0, 2, -1), (0, 3, -1), (0, 3, -1), (0, 3, -1), (2, 3, -1)];7;[(0, 2, -1), (0, 3, -1), (0, 3, -1), (0, 3, -1), (1, 5, 1), (1, 5, 1), (1, 6, 1), (2, 3, -1), (4, 5, 1), (4, 6, 1)]
6_1;"[[1;7;2;6];[3;10;4;11];[5;3;6;2];[7;1;8;12];[9;4;10;5];[11;9;12;8]]";9;[(0, 2, -1), (0, 3, -1), (0, 3, -1), (0, 3, -1), (0, 3, -1), (2, 3, -1)];9;[(0, 2, -1), (0, 3, -1), (0, 3, -1), (0, 3, -1), (0, 3, -1), (1, 5, 1), (1, 5, 1), (1, 7, 1), (2, 3, -1), (4, 6, 1), (4, 7, 1), (5, 6, 1)]
6_2;"[[1;8;2;9];[3;11;4;10];[5;1;6;12];[7;2;8;3];[9;7;10;6];[11;5;12;4]]";11;[(1, 3, 1), (1, 3, 1), (1, 7, 1), (1, 7, 1), (1, 7, 1), (3, 7, 1)];11;[(0, 5, -1), (0, 6, -1), (1, 3, 1), (1, 3, 1), (1, 7, 1), (1, 7, 1), (1, 7, 1), (2, 4, -1), (2, 5, -1), (2, 6, -1), (3, 7, 1), (4, 5, -1)]
6_3;"[[4;2;5;1];[8;4;9;3];[12;9;1;10];[10;5;11;6];[6;11;7;12];[2;8;3;7]]";13;[(1, 3, -1), (1, 6, -1), (1, 7, -1), (1, 7, -1), (3, 6, -1), (3, 7, -1)];13;[(0, 2, 1), (0, 4, 1), (0, 4, 1), (0, 5, 1), (1, 3, -1), (1, 6, -1), (1, 7, -1), (1, 7, -1), (2, 4, 1), (2, 5, 1), (3, 6, -1), (3, 7, -1)]
7_1;"[[1;9;2;8];[3;11;4;10];[5;13;6;12];[7;1;8;14];[9;3;10;2];[11;5;12;4];[13;7;14;6]]";7;[(1, 8, 1), (1, 8, 1), (1, 8, 1), (1, 8, 1), (1, 8, 1), (1, 8, 1), (1, 8, 1)];7;[(0, 4, -1), (0, 5, -1), (1, 8, 1), (1, 8, 1), (1, 8, 1), (1, 8, 1), (1, 8, 1), (1, 8, 1), (1, 8, 1), (2, 5, -1), (2, 6, -1), (3, 6, -1), (3, 7, -1), (4, 7, -1)]
7_2;"[[2;10;3;9];[4;14;5;13];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;4;1;3]]";11;[(1, 4, -1), (1, 5, -1), (1, 5, -1), (1, 5, -1), (1, 5, -1), (1, 5, -1), (4, 5, -1)];11;[(0, 6, 1), (0, 7, 1), (1, 4, -1), (1, 5, -1), (1, 5, -1), (1, 5, -1), (1, 5, -1), (1, 5, -1), (2, 7, 1), (2, 8, 1), (3, 6, 1), (3, 6, 1), (3, 8, 1), (4, 5, -1)]
7_3;"[[1;9;2;8];[3;11;4;10];[5;1;6;14];[7;13;8;12];[9;3;10;2];[11;5;12;4];[13;7;14;6]]";13;[(1, 7, 1), (1, 8, 1), (2, 7, 1), (2, 7, 1), (2, 7, 1), (2, 7, 1), (2, 8, 1)];13;[(0, 4, -1), (0, 4, -1), (0, 4, -1), (0, 5, -1), (1, 7, 1), (1, 8, 1), (2, 7, 1), (2, 7, 1), (2, 7, 1), (2, 7, 1), (2, 8, 1), (3, 5, -1), (3, 6, -1), (4, 6, -1)]
