name,seifert_matrix,det_seifert_matrix,laplacian,det_laplacian,alexander_polynomial
Name,Seifert Matrix,Error,Laplacian,Laplacian Determinant,Alexander
0_1,,,,,1
3_1,"[[ -1, 0], [ -1, -1]]",1,,,1-t+t^2
4_1,"[[ 1, 0], [ -1, -1]]",-1,,,1-3*t+t^2
5_1,"[[ -1, -1, 0, -1], [ 0, -1, 0, 0], [ -1, -1, -1, -1], [ 0, -1, 0, -1]]",1,,,1-t+t^2-t^3+t^4
5_2,"[[ -1, -1], [ 0, -2]]",2,,,2-3*t+2*t^2
6_1,"[[ 1, 0], [ 1, -2]]",-2,,,2-5*t+2*t^2
6_2,"[[ 1, 0, 0, 0], [ -1, -1, -1, -1], [ -1, 0, -1, 0], [ -1, 0, -1, -1]]",-1,,,1-3*t+3*t^2-3*t^3+t^4
6_3,"[[ -1, 0, 0, 0], [ -1, -1, 0, 0], [ -1, -1, 1, 1], [ 0, 0, 0, 1]]",1,,,1-3*t+5*t^2-3*t^3+t^4
7_1,"[[ -1, -1, -1, 0, -1, -1], [ 0, -1, -1, 0, 0, -1], [ 0, 0, -1, 0, 0, 0], [ -1, -1, -1, -1, -1, -1], [ 0, -1, -1, 0, -1, -1], [ 0, 0, -1, 0, 0, -1]]",1,,,1-t+t^2-t^3+t^4-t^5+t^6
7_2,"[[ -1, 1], [ 0, -3]]",3,,,3-5*t+3*t^2
7_3,"[[ -1, -1, -1, -1], [ 0, -1, 0, -1], [ 0, -1, -1, -1], [ 0, 0, 0, -2]]",2,,,2-3*t+3*t^2-3*t^3+2*t^4
7_4,"[[ -2, 0], [ -1, -2]]",4,,,4-7*t+4*t^2
7_5,"[[ -1, 0, -1, 0], [ 0, -1, -1, 0], [ 0, 0, -2, 0], [ 0, -1, -1, -1]]",2,,,2-4*t+5*t^2-4*t^3+2*t^4
7_6,"[[ -1, 0, 0, 0], [ -1, -1, 0, 0], [ -1, -1, 1, -1], [ 0, 0, 0, -1]]",-1,,,1-5*t+7*t^2-5*t^3+t^4
7_7,"[[ 1, 0, 0, 0], [ -1, -1, 0, -1], [ 0, 0, 1, 0], [ -1, 0, -1, -1]]",1,,,1-5*t+9*t^2-5*t^3+t^4
8_1,"[[ 1, 0], [ -1, -3]]",-3,,,3-7*t+3*t^2
8_2,"[[ 1, 0, 0, 0, 0, 0], [ -1, -1, -1, -1, -1, -1], [ -1, 0, -1, -1, 0, -1], [ -1, 0, 0, -1, 0, 0], [ -1, 0, -1, -1, -1, -1], [ -1, 0, 0, -1, 0, -1]]",-1,,,1-3*t+3*t^2-3*t^3+3*t^4-3*t^5+t^6
8_3,"[[ 2, 0], [ -1, -2]]",-4,,,4-9*t+4*t^2
8_4,"[[ 1, 0, 0, 0], [ 1, 1, 1, 0], [ 1, 0, 1, 0], [ 1, 1, 1, -2]]",-2,,,2-5*t+5*t^2-5*t^3+2*t^4
8_5,"[[ -1, 0, 0, -1, -1, -1], [ 0, 1, 0, 0, 0, 0], [ -1, 0, -1, -1, -1, -1], [ 0, -1, 0, -1, -1, -1], [ 0, -1, 0, 0, -1, 0], [ 0, -1, 0, 0, -1, -1]]",-1,,,1-3*t+4*t^2-5*t^3+4*t^4-3*t^5+t^6
